"ID","Product Reference","Name*","UOM*","Product Category ID*","Product Category Name","Product Type","Sale Price","Purchase Price","Cost Price","Discount Price","Start Date","End Date","Description","Arabic Name","Quantity","Terminal ","Secondary / Default Unit","Secondary / Default Unit Qty","Brand","Product Group","Supplier Name","Active"
"'1743440134168","","Mini Falafel","Each","10003744","Appetizers","Item","50","0.1","0.1","0","","","","","-525","Kitchen","-","0","","","","Yes"
"'1743440162368","","Mini Mushroom Quiche","Each","10003744","Appetizers","Item","120","0.1","0.1","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1744976593555","","Maamoul Mix","EA","1028429","Sweets","Item","160","35","35","0","","","","","-12","Kitchen","-","0","","","","Yes"
"'1744977524797","","Delivery Charge","EA","10004054","Extras","Item","20","0.1","0.1","0","","","","","-444","Kitchen","-","0","","","","Yes"
"'1744978003445","","Pumpkin Kebbeh 1 Dozen","EA","Hot Mezze","Hot Mezze","Item","40","0.1","0.1","0","","","","","-42.5","Kitchen","-","0","","","","Yes"
"'1745062339565","","Warak 3inab Veg","EA","10004075","Main Dish","Item","130","0.1","0.1","0","","","","","-155","Kitchen","-","0","","","","Yes"
"'1745063061149","","Kebbeh Bil Sayniye","EA","10004075","Main Dish","Item","120","0.1","0.1","0","","","","","-51","Kitchen","-","0","","","","Yes"
"'1745063108008","","Kafta with Potato","EA","10004075","Main Dish","Item","200","0.1","0.1","0","","","","","-4","Kitchen","-","0","","","","Yes"
"'1745063171380","","Koussa Mehchi","Hour","10004075","Main Dish","Item","200","0.1","0.1","0","","","","","-15","Kitchen","-","0","","","","Yes"
"'1745064445968","","Cheese Rolls 12 pcs","EA","Hot Mezze","Hot Mezze","Item","35","0.1","0.1","0","","","","","-133.5","Kitchen","-","0","","","","Yes"
"'1745078302038","","Ba2dounis","EA","Salads","Salads","Item","50","0.1","0.1","0","","","","","-1","Kitchen","-","0","","","","Yes"
"'1745132117715","","Warak 3inab Meat","EA","10004075","Main Dish","Item","350","0.1","0.1","0","","","","","-76.5","Kitchen","-","0","","","","Yes"
"'1745133030751","","Msakhan Chicken","Dozen","Hot Mezze","Hot Mezze","Item","40","0.1","0.1","0","","","","","-46","Kitchen","-","0","","","","Yes"
"'1745135046270","","Main Dish 1 Portion","EA","10003722","Daily Dish","Item","200","0.1","0.1","0","","","","","-321","Kitchen","-","0","","","","Yes"
"'1745135107710","","Main Dish Half Portion","EA","10003722","Daily Dish","Item","130","0.1","0.1","0","","","","","-266","Kitchen","-","0","","","","Yes"
"'1745225485887","","Roast Beef Mashed Potato Veg","EA","10004075","Main Dish","Item","250","0.1","0.1","0","","","","","-12","Kitchen","-","0","","","","Yes"
