Document no,Date Ordered,Supplier,Product,UOM,Unit Price,Qty Ordered,Line Amt,Discount,Document Status
800110,2025-08-25 14:08:45,Al Majed Marketing & Distribution,Sona Masoori Rice 35 Kg_17004,Each,92,2,184,0,Completed
800110,2025-08-25 14:08:45,Al Majed Marketing & Distribution,Mashhor Indian 1121 Long Grain Basmati Rice 1x35kg_17005,Each,140,1,140,0,Completed
800110,2025-08-25 14:08:45,Al Majed Marketing & Distribution,Masoor Dal 15Kg_17007,Each,58,3,174,0,Completed
800111,2025-08-25 16:40:56,Bluefin,Topside Chilled South Africa_15009,KG,32,40,1280,0,Completed
800112,2025-08-25 16:59:04,Bluefin,Tanmiah Plain Chicken Breast 6 OZ - Calibrated 5*2Kg_16011,Each,180,1,180,0,Completed
800113,2025-08-25 17:04:34,BRF,Sadia Whole legs 10.8 Kg_16008,Each,135,1,135,0,Completed
800113,2025-08-25 17:04:34,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,3,297,0,Completed
800114,2025-08-26 09:43:50,Packon Trading,Maxi Roll - 6pcs_12032,Each,18,10,180,0,Completed
800115,2025-08-26 13:46:07,Fahed Foods w.l.l.,Fish Filet Frozen - Vietnam 1 Kg_18025,Each,9,10,90,0,Completed
800115,2025-08-26 13:46:07,Fahed Foods w.l.l.,FRZ EG Broccoli 2.5KGx4 Hi-Chef_4030,Each,47,1,47,0,Completed
800115,2025-08-26 13:46:07,Fahed Foods w.l.l.,Frz EG Okra Zero 20gx400 Hi-Chef_18038,Each,83,1,83,0,Completed
800115,2025-08-26 13:46:07,Fahed Foods w.l.l.,Shrimp Frozen 11/15 1 Kg_18028,Each,28,10,280,0,Completed
800115,2025-08-26 13:46:07,Fahed Foods w.l.l.,FZ EG Strawberry 1kgx8 Vegie-Tut_18009,Each,60,1,60,0,Completed
800115,2025-08-26 13:46:07,Fahed Foods w.l.l.,FRZ EG Cut Beans 2.5x4kg Hi-Chef_18017,Each,43,1,43,0,Completed
800116,2025-08-26 13:57:34,Al Majed Marketing & Distribution,Palm Oil 18 Ltr_21001,Each,80,2,160,0,Completed
800117,2025-08-26 14:02:39,Tredos Trading,"French Fries 9x9mm, Skin off 4x2.5Kgs_18021",Each,68,2,136,0,Completed
800118,2025-08-26 14:28:32,Ideal Qatar,BM Mixed pickles 10 kg_21007,Each,81.5,2,163,0,Completed
800119,2025-08-28 14:42:50,Tredos Trading,StarSea Chunk White Tune in sunflower oil 6x1.85Kg_21035,Each,225,1,225,0,Completed
800119,2025-08-28 14:42:50,Tredos Trading,Whole Peeled Tomatoes 6x2.5KG_21015,Each,90,2,180,0,Completed
800119,2025-08-28 14:42:50,Tredos Trading,Cheddar Cheese Sauce (TIN) 3.4 Kg_21033,Each,38.33,2,76.66,0,Completed
800119,2025-08-28 14:42:50,Tredos Trading,Chicken Stock Powder 2 Kg_17031,Each,33.33,2,66.66,0,Completed
800119,2025-08-28 14:42:50,Tredos Trading,Beef Stock Powder 2 Kg_17035,Each,33.33,2,66.66,0,Completed
800120,2025-08-28 15:53:03,Fahed Foods w.l.l.,FRZ US Beef HotDog 6Inch 6/1Kg Oak Valley_18040,Each,72,1,72,0,Completed
800120,2025-08-28 15:53:03,Fahed Foods w.l.l.,Candia Puff Pastry Butter Extra Tourage 82% 1Kgx10_19020,Each,510,1,510,0,Completed
800120,2025-08-28 15:53:03,Fahed Foods w.l.l.,AlWadi-Pomegrenate Molasses 500mlx12_21029,Each,90,1,90,0,Completed
800121,2025-08-28 16:14:36,Ideal Qatar,AOUN RED LENTILS 900GR_17017,Each,9.5,10,95,0,Completed
800121,2025-08-28 16:14:36,Ideal Qatar,Aoun Green Lentils 900 Gr 1x20_17022,Each,9.5,10,95,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Kings Harvest - Crispy Fried Onions_20012,KG,27,1,27,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Colavita Balsamic Vinegar - 5L_21003,Each,49,1,49,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Bister Dijon Mustard - 5KG_21027,Each,70,1,70,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Benina Quinoa Multicolor 1000G_20013,Each,23,3,69,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Benina - Soy Sauce Original 1.86L_20001,Each,12.5,6,75,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Benina - Oyster Sauce 1.9L_20002,Each,18.5,6,111,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Dodoni - Feta Goat Cheese 200 GRS_13003,Each,14,12,168,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Dodoni - Feta Cheese 200 GRS_13002,Each,14.5,12,174,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Coombe Castle - Dragon Mild White Cheddar_13005,KG,23,5,115,0,Completed
800122,2025-08-28 16:15:12,Benina Food,Talmera - Monterey Jack Block Cheese_13007,KG,34,2.6,88.4,0,Completed
800124,2025-08-28 16:27:02,Bluefin,Topside Chilled South Africa_15009,KG,32,40,1280,0,Completed
800124,2025-08-28 16:27:02,Bluefin,Tanmiah Plain Chicken Breast 6 OZ - Calibrated 5*2Kg_16011,Each,180,2,360,0,Completed
800123,2025-08-28 16:40:25,Packon Trading,Aluminum Container - 1120 (400pcs)_12022,Each,89,3,267,0,Completed
800123,2025-08-28 16:40:25,Packon Trading,Floor Cleaner 5Ltrx4_12047,Each,33,1,33,0,Completed
800123,2025-08-28 16:40:25,Packon Trading,Garbage Bag - 90*110 (12KG)_12000,Each,48,1,48,0,Completed
800123,2025-08-28 16:40:25,Packon Trading,Latex Gloves Large_60030,Each,51,1,51,0,Completed
800123,2025-08-28 16:40:25,Packon Trading,Black Rect Container RE 32 Pack On 150pcs/ctn_12042,Each,63,1,63,0,Completed
800123,2025-08-28 16:40:25,Packon Trading,Dish Washing Liquid 20ltr 5x4_12045,Each,33,1,33,0,Completed
